Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	1.160736	1.825812	83.297997	60.680000	
0.100000	1.139454	1.437526	83.253998	65.119995	
0.100000	1.117634	1.685712	83.787994	61.879997	
0.100000	1.127584	1.729907	83.465996	61.239998	
0.100000	1.119181	1.611371	83.610001	63.329998	
0.100000	1.092104	1.714892	84.026001	62.389999	
0.100000	1.076819	1.545207	84.105995	63.579998	
0.100000	1.067909	1.584821	84.416000	63.180000	
0.100000	1.062060	1.555619	84.451996	64.860001	
0.100000	1.033475	1.469304	84.877998	65.619995	
0.100000	1.020347	1.446191	84.837997	65.439995	
0.100000	1.045329	1.516211	84.685997	63.829998	
0.100000	1.038523	1.382345	84.713997	66.799995	
0.100000	1.017831	1.523043	85.139999	65.159996	
0.100000	1.017252	1.562769	84.809998	64.330002	
0.100000	1.006955	1.543109	85.245995	64.409996	
0.100000	0.987186	1.377092	85.529999	67.309998	
0.100000	0.986364	1.649980	85.419998	63.609997	
0.100000	0.984511	1.487686	85.598000	65.349998	
0.100000	0.965367	1.537596	85.598000	64.409996	
0.100000	0.968174	1.374087	85.862000	66.949997	
0.100000	0.953075	1.565950	85.977997	64.629997	
0.100000	0.950695	1.723180	85.930000	63.399998	
0.100000	0.948077	1.557799	85.909996	65.739998	
0.100000	0.933486	1.634094	86.391998	63.879997	
0.100000	0.934856	1.560711	86.026001	64.489998	
0.100000	0.932435	1.383677	86.239998	67.229996	
0.100000	0.911292	1.732857	86.371994	62.199997	
0.100000	0.925226	1.652024	86.360001	63.820000	
0.100000	0.910848	1.469645	86.479996	65.930000	
0.100000	0.907428	1.647359	86.465996	64.669998	
0.100000	0.910686	1.503922	86.669998	66.519997	
0.100000	0.913353	1.625488	86.375999	63.889999	
0.100000	0.887364	1.479999	86.869995	66.559998	
0.100000	0.864654	1.586159	87.071999	65.619995	
0.100000	0.900171	1.671768	86.493996	63.399998	
0.100000	0.871796	1.416284	87.241997	67.159996	
0.100000	0.867254	1.555403	87.290001	65.180000	
0.100000	0.868342	1.653005	86.903999	64.000000	
0.100000	0.863840	1.629065	87.237999	64.500000	
0.100000	0.853961	1.498210	87.068001	66.000000	
0.100000	0.854611	1.619614	86.998001	64.430000	
0.100000	0.845040	1.675831	87.498001	63.939999	
0.100000	0.837932	1.676784	87.638000	63.269997	
0.100000	0.835111	1.472115	87.625999	66.080002	
0.100000	0.852233	1.633474	87.311996	65.169998	
0.100000	0.835252	1.613774	87.638000	63.939999	
0.100000	0.816719	1.456018	87.823997	67.099998	
0.100000	0.817896	1.679499	87.603996	64.000000	
0.100000	0.834314	1.619626	87.565994	63.980000	
0.100000	0.814210	1.574077	87.731995	64.900002	
0.100000	0.825400	1.544692	87.793999	65.199997	
0.100000	0.800318	1.641407	88.089996	65.430000	
0.100000	0.813021	1.526776	88.037994	66.279999	
0.100000	0.820551	1.620816	87.790001	64.750000	
0.100000	0.816254	1.508606	87.795998	65.769997	
0.100000	0.792458	1.710542	88.141998	64.139999	
0.100000	0.786051	1.493925	88.209999	66.439995	
0.100000	0.826649	1.444220	87.631996	67.070000	
0.100000	0.802176	1.730655	88.124001	63.469997	
0.100000	0.812034	1.549359	87.984001	66.290001	
0.100000	0.782934	1.654698	88.339996	64.430000	
0.100000	0.804319	1.757312	88.169998	63.679996	
0.100000	0.783423	1.566069	88.236000	65.570000	
0.100000	0.789029	1.646229	88.234001	64.879997	
0.100000	0.769631	1.594564	88.706001	64.959999	
0.100000	0.783046	1.658449	88.234001	64.889999	
0.100000	0.778645	1.600099	88.250000	64.699997	
0.100000	0.793025	1.514966	88.320000	66.799995	
0.100000	0.775742	1.665181	88.339996	64.529999	
0.100000	0.763464	1.507263	88.699997	66.400002	
0.100000	0.759704	1.639402	88.729996	64.659996	
0.100000	0.761776	1.576941	88.694000	65.639999	
0.100000	0.772738	1.528449	88.335999	65.650002	
0.100000	0.759238	1.682429	88.762001	65.049995	
0.100000	0.765421	1.588525	88.495995	65.979996	
0.100000	0.751874	1.541162	88.883995	66.479996	
0.100000	0.764830	1.534070	88.722000	65.979996	
0.100000	0.745054	1.599584	89.113998	65.580002	
0.100000	0.755423	1.478911	88.769997	66.909996	
0.100000	0.733488	1.691902	89.124001	64.599998	
0.100000	0.745206	1.550429	88.797997	66.580002	
