Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.020000	0.352528	1.049080	95.133995	74.639999	
0.020000	0.368585	1.066766	94.875999	74.199997	
0.020000	0.371351	0.964037	94.961998	75.979996	
0.020000	0.375187	1.028564	94.722000	74.519997	
0.020000	0.368934	1.143186	95.045998	73.669998	
0.020000	0.361159	1.013990	95.098000	75.379997	
0.020000	0.355527	1.082859	95.119995	73.919998	
0.020000	0.341872	1.116345	95.313995	73.189995	
0.020000	0.365887	1.093700	94.937996	73.659996	
0.020000	0.369360	1.090285	94.776001	73.869995	
0.020000	0.353381	0.979379	95.149994	76.059998	
0.020000	0.346904	1.068976	95.135994	73.540001	
0.020000	0.349673	1.138520	95.262001	73.580002	
0.020000	0.342378	1.051391	95.411995	74.619995	
0.020000	0.344964	1.044122	95.192001	74.860001	
0.020000	0.340467	1.088560	95.374001	74.489998	
0.020000	0.350376	1.097257	95.157997	74.180000	
0.020000	0.333594	1.043442	95.389999	75.009995	
0.020000	0.341257	1.109435	95.293999	73.799995	
0.020000	0.355787	1.088981	95.166000	74.209999	
0.020000	0.348052	1.046556	95.321999	75.099998	
0.020000	0.329639	1.089779	95.619995	74.080002	
0.020000	0.314885	1.097985	95.851997	74.519997	
0.020000	0.312413	1.016932	95.727997	75.209999	
0.020000	0.334405	1.046399	95.521996	75.489998	
0.020000	0.345946	1.076074	95.297997	74.680000	
0.020000	0.340260	1.046130	95.318001	74.689995	
0.020000	0.315675	0.971946	95.793999	76.389999	
0.020000	0.322297	1.143493	95.677994	73.479996	
0.020000	0.327175	1.047190	95.554001	75.239998	
0.020000	0.327240	1.023665	95.526001	75.709999	
0.020000	0.320270	1.136870	95.757996	73.430000	
0.020000	0.331006	1.090173	95.374001	73.959999	
0.020000	0.300992	1.195627	96.026001	72.889999	
0.020000	0.345567	1.184427	95.528000	72.650002	
0.020000	0.314133	1.114046	95.673996	74.909996	
0.020000	0.326518	1.074397	95.577995	74.389999	
0.020000	0.324825	1.076801	95.385994	74.529999	
0.020000	0.328954	1.100656	95.667999	73.849998	
0.020000	0.329945	1.049968	95.451996	74.839996	
0.020000	0.311349	1.068494	95.806000	74.570000	
0.020000	0.317402	1.036717	95.767998	74.839996	
0.020000	0.310981	1.093276	95.909996	74.339996	
0.020000	0.319859	1.163577	95.639999	73.959999	
0.020000	0.314606	1.090175	95.689995	74.349998	
0.020000	0.316922	1.194306	95.764000	73.119995	
0.020000	0.312560	1.074723	95.755997	74.529999	
0.020000	0.297163	1.088615	96.035995	74.439995	
0.020000	0.310593	1.136345	95.860001	73.479996	
0.020000	0.314721	1.093735	95.741997	74.830002	
0.020000	0.318391	1.117409	95.825996	74.459999	
0.020000	0.321545	1.153712	95.561996	73.379997	
0.020000	0.319502	1.069605	95.661995	74.639999	
0.004000	0.104506	0.803157	98.907997	80.599998	
0.004000	0.047295	0.805356	99.627998	80.790001	
0.004000	0.035635	0.809371	99.792000	81.040001	
0.004000	0.029924	0.816229	99.827995	81.009995	
0.004000	0.026985	0.809364	99.821999	81.209999	
0.004000	0.025267	0.810490	99.862000	81.360001	
0.004000	0.023734	0.805210	99.871994	81.379997	
0.004000	0.021680	0.817019	99.893997	81.639999	
