Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	1.533249	1.387932	77.776001	63.919998	
0.100000	1.533826	1.479217	77.748001	62.029999	
0.100000	1.539049	1.384936	77.891998	64.330002	
0.100000	1.533935	1.424151	77.720001	62.619999	
0.100000	1.550827	1.588626	77.680000	60.779999	
0.100000	1.532194	2.182085	77.981995	54.660000	
0.100000	1.526677	1.763139	77.832001	58.180000	
0.100000	1.533206	1.792814	77.543999	57.169998	
0.100000	1.520428	1.462235	77.970001	61.699997	
0.100000	1.517818	1.630519	78.145996	60.109997	
0.100000	1.525320	1.769576	77.961998	56.480000	
0.100000	1.542519	1.576080	77.729996	61.709999	
0.100000	1.526868	1.592604	77.779999	58.809998	
0.100000	1.531287	1.541387	77.790001	62.039997	
0.100000	1.516406	1.547684	77.909996	60.369999	
0.100000	1.537102	1.538234	77.695999	60.969997	
0.100000	1.526971	1.740481	77.975998	57.719997	
0.100000	1.526891	1.586544	77.783997	59.570000	
0.100000	1.514809	1.445365	78.178001	64.119995	
0.100000	1.521981	1.491597	77.785995	61.199997	
0.100000	1.511722	1.623378	78.245995	59.549999	
0.100000	1.522283	1.630039	78.049995	60.299999	
0.100000	1.507961	1.536940	78.021996	60.199997	
0.100000	1.520221	1.449018	77.993996	63.590000	
0.100000	1.517856	1.630713	77.895996	59.139999	
0.100000	1.516588	1.685034	77.961998	60.289997	
0.100000	1.507393	1.486585	78.091995	63.079998	
0.100000	1.502726	1.554717	78.117996	60.119999	
0.100000	1.515893	1.533200	78.129997	62.169998	
0.100000	1.529505	1.801836	77.895996	57.689999	
0.100000	1.515678	1.424536	78.138000	63.309998	
0.100000	1.502227	1.587246	78.397995	60.570000	
0.100000	1.497332	1.702161	78.395996	58.269997	
0.100000	1.512406	1.356825	78.292000	63.459999	
0.100000	1.517478	1.419656	78.122002	63.379997	
0.100000	1.508200	1.477809	78.239998	61.939999	
0.100000	1.515222	1.548919	77.909996	61.699997	
0.100000	1.501399	1.457247	78.157997	62.579998	
0.100000	1.497793	1.533075	78.533997	61.160000	
0.100000	1.499309	1.780975	78.203995	57.730000	
0.100000	1.499650	2.296243	78.292000	52.149998	
0.100000	1.497393	1.545595	78.377998	61.259998	
0.100000	1.513587	1.587718	78.223999	60.239998	
0.100000	1.491534	1.608573	78.531998	60.230000	
0.010000	0.689434	0.693354	90.767998	80.549995	
0.010000	0.430934	0.686789	94.605995	80.799995	
0.010000	0.339545	0.683421	96.099998	81.259995	
0.010000	0.277714	0.678000	96.945999	81.430000	
0.010000	0.233128	0.681713	97.708000	81.489998	
0.010000	0.197307	0.682078	98.259995	81.659996	
0.010000	0.172019	0.690492	98.568001	81.500000	
0.010000	0.150577	0.696465	98.927994	81.150002	
0.010000	0.130413	0.691953	99.113998	81.540001	
0.010000	0.118209	0.706652	99.243996	81.479996	
0.010000	0.106560	0.704465	99.437996	81.939995	
0.010000	0.093916	0.710307	99.551994	81.379997	
0.010000	0.086502	0.713407	99.603996	81.639999	
0.010000	0.083284	0.704361	99.638000	81.540001	
0.010000	0.075968	0.709361	99.675995	81.570000	
0.010000	0.076210	0.708353	99.722000	81.849998	
0.010000	0.069901	0.717356	99.779999	81.639999	
0.010000	0.068978	0.720747	99.741997	81.829994	
0.010000	0.064492	0.731963	99.827995	81.419998	
0.010000	0.064254	0.724774	99.799995	81.459999	
0.010000	0.061156	0.732005	99.827995	81.869995	
0.010000	0.058067	0.726519	99.837997	81.809998	
0.010000	0.059686	0.753177	99.827995	81.479996	
0.010000	0.062924	0.729838	99.739998	81.599998	
0.010000	0.060511	0.727628	99.806000	81.500000	
0.010000	0.059084	0.755902	99.795998	81.110001	
0.010000	0.056228	0.747465	99.813995	81.329994	
0.010000	0.057133	0.730292	99.839996	81.470001	
0.010000	0.056966	0.759248	99.841995	81.299995	
0.010000	0.060333	0.770942	99.787994	80.939995	
0.010000	0.063913	0.771580	99.773994	81.009995	
0.010000	0.061169	0.766475	99.720001	80.839996	
0.010000	0.065748	0.767937	99.739998	80.409996	
0.010000	0.069830	0.766332	99.685997	80.849998	
0.010000	0.068715	0.756900	99.681999	80.720001	
0.010000	0.067407	0.789834	99.748001	80.139999	
0.010000	0.069888	0.803891	99.737999	80.259995	
0.010000	0.079182	0.796296	99.617996	80.159996	
0.010000	0.079785	0.771405	99.657997	80.829994	
0.010000	0.081386	0.849723	99.589996	79.150002	
0.010000	0.087025	0.827484	99.617996	79.610001	
0.010000	0.094359	0.805395	99.439995	79.489998	
0.010000	0.090801	0.828495	99.531998	79.570000	
0.010000	0.099122	0.873356	99.444000	78.599998	
0.010000	0.102479	0.836928	99.391998	79.400002	
0.010000	0.102487	0.838957	99.447998	79.110001	
